,demand_region2,demand_region4,demand_region5,wind_region2,wind_region5,wind_region6
2020-01-01 00:00:00,-39.09,-70.38,-34.24,0.6756,0.1929,0.183
2020-01-01 01:00:00,-38.14,-68.89,-32.5,0.6449,0.2263,0.1962
2020-01-01 02:00:00,-38.18,-66.13,-30.76,0.6245,0.2476,0.1877
2020-01-01 03:00:00,-39.03,-65.14,-29.82,0.5977,0.2638,0.185
2020-01-01 04:00:00,-40.97,-67.01,-28.83,0.5836,0.2607,0.1748
2020-01-01 05:00:00,-45.96,-71.28,-29.6,0.5726,0.255,0.1621
2020-01-01 06:00:00,-51.15,-75.74,-34.14,0.5577,0.2509,0.1592
2020-01-01 07:00:00,-53.9,-77.75,-39.58,0.5469,0.2385,0.1533
2020-01-01 08:00:00,-55.27,-78.9,-42.72,0.5493,0.2304,0.1582
2020-01-01 09:00:00,-56.56,-79.12,-44.79,0.5515,0.2214,0.2273
2020-01-01 10:00:00,-57.56,-79.2,-45.62,0.5371,0.2118,0.2424
2020-01-01 11:00:00,-57.07,-79.26,-46.05,0.5339,0.2035,0.1994
2020-01-01 12:00:00,-55.89,-77.54,-46.3,0.5357,0.1982,0.1603
2020-01-01 13:00:00,-54.67,-75.46,-45.96,0.5231,0.1939,0.1391
2020-01-01 14:00:00,-54.06,-73.47,-45.71,0.4896,0.1741,0.135
2020-01-01 15:00:00,-54.52,-72.91,-45.95,0.4595,0.1601,0.1297
2020-01-01 16:00:00,-56.96,-75.26,-48.61,0.4687,0.1778,0.0711
2020-01-01 17:00:00,-57.75,-79.53,-51.0,0.4788,0.2134,0.0487
2020-01-01 18:00:00,-56.32,-80.44,-50.85,0.478,0.2377,0.055
2020-01-01 19:00:00,-52.71,-77.14,-48.96,0.4675,0.2384,0.0594
2020-01-01 20:00:00,-49.77,-73.8,-46.16,0.4574,0.2459,0.064
2020-01-01 21:00:00,-47.95,-74.19,-42.63,0.4363,0.255,0.0669
2020-01-01 22:00:00,-44.19,-75.29,-38.77,0.4099,0.265,0.0608
2020-01-01 23:00:00,-41.07,-72.61,-35.24,0.3928,0.2805,0.0572
2020-01-02 00:00:00,-51.6,-75.44,-36.78,0.3727,0.2935,0.0532
2020-01-02 01:00:00,-50.65,-73.95,-35.04,0.3703,0.3003,0.0496
2020-01-02 02:00:00,-50.69,-71.19,-33.3,0.3649,0.3187,0.0457
2020-01-02 03:00:00,-51.53,-70.21,-32.37,0.38,0.3282,0.0469
2020-01-02 04:00:00,-53.48,-72.08,-31.37,0.4144,0.3511,0.054
2020-01-02 05:00:00,-58.47,-76.34,-32.15,0.4303,0.3926,0.0589
2020-01-02 06:00:00,-63.66,-80.8,-36.68,0.4302,0.4307,0.0607
2020-01-02 07:00:00,-66.4,-82.81,-42.12,0.4297,0.4405,0.0602
2020-01-02 08:00:00,-67.78,-83.96,-45.26,0.4381,0.4618,0.069
